Make,AccidentArea,MonthClaimed,Sex,MaritalStatus,Fault,PolicyType,VehicleCategory,VehiclePrice,FraudFound_P,Deductible,DriverRating,Days_Policy_Accident,Days_Policy_Claim,PastNumberOfClaims,AgeOfVehicle,AgeOfPolicyHolder,PoliceReportFiled,WitnessPresent,AgentType,NumberOfSuppliments,AddressChange_Claim,NumberOfCars,Year,BasePolicy
Honda,Urban,Feb,Male,Single,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Chevrolet,Urban,Feb,Male,Single,Third Party,Sedan - Collision,Sedan,more than 69000,0,400,1,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Toyota,Urban,Sep,Female,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,400,4,more than 30,more than 30,1,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
Toyota,Urban,Sep,Male,Single,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,700,1,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Honda,Urban,Jan,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
Mercury,Rural,Oct,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,1,more than 7,51 to 65,No,No,External,more than 5,4 to 8 years,2 vehicles,1994,All Perils
Mazda,Urban,Dec,Female,Divorced,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,2,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,more than 5,no change,3 to 4,1994,Liability
Mercury,Urban,Aug,Male,Married,Policy Holder,Utility - All Perils,Utility,30000 to 39000,1,400,3,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils
Toyota,Urban,Feb,Male,Single,Policy Holder,Sedan - Collision,Sedan,more than 69000,0,400,2,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
Pontiac,Urban,Jan,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,3,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Liability
Pontiac,Rural,Nov,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Honda,Urban,Nov,Male,Single,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
Honda,Urban,Nov,Female,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Chevrolet,Urban,Nov,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,2,more than 30,more than 30,2 to 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
Chevrolet,Rural,Nov,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,1,more than 30,more than 30,1,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Liability
Honda,Urban,Dec,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,none,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils
Honda,Urban,Jan,Male,Married,Policy Holder,Sedan - Liability,Sport,more than 69000,0,400,1,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability
Toyota,Urban,May,Male,Married,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
Toyota,Urban,May,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
Mazda,Urban,May,Male,Single,Third Party,Sedan - Liability,Sport,20000 to 29000,0,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
Toyota,Rural,Jul,Male,Married,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
Toyota,Urban,Sep,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
Chevrolet,Urban,May,Male,Married,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,400,4,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Toyota,Urban,Sep,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
Pontiac,Rural,Aug,Male,Married,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,0,400,3,more than 30,more than 30,more than 4,more than 7,over 65,No,No,External,none,no change,1 vehicle,1994,Collision
Pontiac,Urban,Jul,Female,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,4,more than 30,more than 30,2 to 4,6 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
Mazda,Urban,Sep,Male,Single,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,400,3,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,more than 5,1 year,2 vehicles,1994,Collision
Mazda,Urban,Aug,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
Honda,Urban,Aug,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,1,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Honda,Urban,Sep,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,3,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
Ford,Urban,Aug,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,4,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
Pontiac,Urban,Sep,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,2,more than 30,more than 30,1,6 years,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability
Mazda,Urban,Oct,Female,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,2 to 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
Mazda,Urban,Nov,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,none,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Mazda,Urban,Nov,Female,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,3,more than 30,more than 30,more than 4,5 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
Toyota,Urban,Nov,Female,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,2,more than 30,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Liability
Pontiac,Urban,Dec,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,2 to 4,more than 7,over 65,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
Toyota,Urban,May,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,1,more than 30,more than 30,1,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Liability
Mazda,Rural,May,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,500,2,more than 30,more than 30,1,more than 7,over 65,Yes,No,External,none,no change,1 vehicle,1994,Collision
Pontiac,Urban,May,Female,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,2,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
Toyota,Urban,May,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,2,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
Toyota,Urban,May,Male,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
Toyota,Urban,May,Male,Single,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,none,5 years,26 to 30,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Mazda,Rural,Jun,Female,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,3,more than 30,more than 30,1,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
Honda,Rural,Jul,Female,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,2 to 4,7 years,41 to 50,No,No,External,none,no change,1 vehicle,1994,Collision
Honda,Urban,Aug,Male,Single,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Collision
Toyota,Urban,Jul,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,3,more than 30,more than 30,2 to 4,7 years,31 to 35,Yes,No,External,more than 5,no change,1 vehicle,1994,Liability
Chevrolet,Rural,Aug,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,4,more than 30,more than 30,none,more than 7,36 to 40,No,No,External,none,4 to 8 years,3 to 4,1994,Collision
Mazda,Urban,Aug,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,2,more than 30,more than 30,2 to 4,more than 7,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
Mazda,Urban,Sep,Male,Single,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,1,more than 30,more than 30,more than 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Chevrolet,Urban,Sep,Male,Married,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,1,400,1,more than 30,more than 30,2 to 4,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils
Pontiac,Urban,Aug,Male,Married,Policy Holder,Sedan - All Perils,Sedan,less than 20000,1,400,3,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
Pontiac,Urban,Nov,Male,Single,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,1,more than 30,more than 30,2 to 4,2 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Liability
Honda,Urban,Nov,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
Toyota,Rural,Aug,Male,Single,Policy Holder,Sedan - All Perils,Sedan,less than 20000,1,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,All Perils
Honda,Urban,Dec,Female,Single,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,none,5 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
Chevrolet,Urban,Dec,Female,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
Chevrolet,Urban,Nov,Male,Married,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,400,4,more than 30,more than 30,none,more than 7,41 to 50,No,No,External,none,no change,1 vehicle,1994,All Perils
Chevrolet,Urban,Sep,Male,Married,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,400,3,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,Internal,more than 5,no change,1 vehicle,1994,Collision
Toyota,Urban,Sep,Female,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
Toyota,Urban,Sep,Male,Single,Third Party,Sedan - All Perils,Sedan,30000 to 39000,0,400,2,more than 30,more than 30,1,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
Pontiac,Urban,Aug,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,Collision
Chevrolet,Urban,Aug,Male,Single,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,4,more than 30,more than 30,1,7 years,36 to 40,Yes,No,External,none,no change,1 vehicle,1994,Liability
Accura,Urban,Aug,Male,Single,Policy Holder,Utility - All Perils,Utility,more than 69000,0,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
Toyota,Urban,Sep,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,1,400,4,more than 30,more than 30,2 to 4,6 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
Ford,Urban,Aug,Male,Married,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,0,700,3,more than 30,more than 30,none,more than 7,over 65,Yes,No,External,1 to 2,no change,1 vehicle,1994,Collision
Mazda,Urban,Jun,Male,Married,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,4,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,no change,1 vehicle,1994,Liability
Honda,Urban,Apr,Female,Single,Third Party,Sedan - Liability,Sport,more than 69000,0,400,3,more than 30,more than 30,2 to 4,5 years,26 to 30,No,No,External,none,no change,1 vehicle,1994,Liability
Toyota,Urban,Dec,Male,Single,Policy Holder,Sedan - Liability,Sport,30000 to 39000,0,400,3,more than 30,more than 30,1,6 years,31 to 35,No,No,External,none,4 to 8 years,2 vehicles,1994,Liability
Honda,Rural,Dec,Male,Married,Third Party,Sedan - Collision,Sedan,30000 to 39000,0,400,3,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
Toyota,Urban,Dec,Male,Married,Policy Holder,Sedan - All Perils,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
Toyota,Urban,Dec,Male,Married,Third Party,Sedan - All Perils,Sedan,20000 to 29000,0,400,1,more than 30,more than 30,none,6 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
Honda,Urban,Nov,Male,Single,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,4,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
Pontiac,Urban,Nov,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,2,more than 30,more than 30,2 to 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,Collision
Chevrolet,Urban,Nov,Male,Single,Third Party,Sedan - All Perils,Sedan,more than 69000,0,400,4,more than 30,more than 30,none,5 years,31 to 35,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
Ford,Urban,Nov,Male,Married,Policy Holder,Sedan - Liability,Sport,more than 69000,0,400,2,more than 30,more than 30,more than 4,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Liability
Honda,Rural,Oct,Male,Married,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,4,more than 30,more than 30,none,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Collision
Accura,Urban,Oct,Male,Married,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,0,400,2,more than 30,more than 30,2 to 4,5 years,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils
Toyota,Urban,Nov,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,3,more than 30,more than 30,more than 4,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
Accura,Urban,Sep,Male,Single,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,400,4,more than 30,more than 30,1,7 years,36 to 40,No,No,External,3 to 5,no change,1 vehicle,1994,All Perils
Chevrolet,Rural,Oct,Male,Single,Policy Holder,Sedan - Collision,Sedan,30000 to 39000,0,400,1,more than 30,more than 30,2 to 4,4 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,Collision
Toyota,Urban,Aug,Male,Married,Policy Holder,Sedan - Collision,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision
Honda,Urban,Aug,Male,Married,Third Party,Sedan - Liability,Sport,30000 to 39000,0,400,3,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,none,no change,1 vehicle,1994,Liability
Toyota,Urban,Jul,Male,Married,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,400,4,more than 30,more than 30,none,more than 7,over 65,No,No,External,more than 5,no change,1 vehicle,1994,All Perils
Honda,Urban,Nov,Male,Married,Policy Holder,Sport - Collision,Sport,more than 69000,0,400,2,more than 30,more than 30,none,7 years,51 to 65,No,No,External,none,no change,1 vehicle,1994,Collision
Honda,Urban,Jul,Female,Single,Policy Holder,Sedan - Liability,Sport,more than 69000,0,400,2,more than 30,more than 30,more than 4,new,31 to 35,No,No,External,none,no change,1 vehicle,1994,Liability
Toyota,Urban,Jul,Male,Married,Third Party,Sedan - Collision,Sedan,20000 to 29000,0,400,3,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,more than 5,no change,1 vehicle,1994,Collision
Pontiac,Urban,Jul,Male,Married,Policy Holder,Sedan - All Perils,Sedan,less than 20000,0,400,1,more than 30,more than 30,none,more than 7,51 to 65,No,No,External,none,no change,1 vehicle,1994,All Perils
Toyota,Urban,Jul,Male,Married,Policy Holder,Sedan - Liability,Sport,20000 to 29000,0,400,3,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,more than 5,no change,3 to 4,1994,Liability
Ford,Urban,Jul,Male,Married,Policy Holder,Sedan - Collision,Sedan,40000 to 59000,0,500,1,more than 30,more than 30,1,more than 7,41 to 50,No,No,External,more than 5,2 to 3 years,2 vehicles,1994,Collision
Nisson,Urban,Jun,Male,Married,Policy Holder,Sedan - All Perils,Sedan,more than 69000,0,400,3,more than 30,more than 30,more than 4,more than 7,41 to 50,No,No,External,1 to 2,no change,1 vehicle,1994,All Perils
Pontiac,Urban,Jun,Male,Married,Policy Holder,Sedan - Liability,Sport,more than 69000,0,400,2,more than 30,more than 30,more than 4,6 years,36 to 40,No,No,External,more than 5,no change,1 vehicle,1994,Liability
Honda,Urban,Sep,Male,Married,Policy Holder,Sedan - All Perils,Sedan,30000 to 39000,1,400,1,more than 30,more than 30,none,7 years,31 to 35,No,No,External,none,no change,1 vehicle,1994,All Perils
Honda,Urban,Jun,Male,Single,Policy Holder,Sedan - Liability,Sport,more than 69000,0,400,1,more than 30,more than 30,more than 4,7 years,36 to 40,No,No,External,1 to 2,no change,1 vehicle,1994,Liability
